"Coefficient of Human Inequality"
"HDI Rank (2015)","Country","2010","","2011","","2012","","2013","","2014","","2015",""
"170"," Malawi","31.6","","31.4","","31.1","","31.6","","32.6","","31.2",""
"105"," Maldives","15.5","","23.9","","23.9","","24.2","","23.8","","23.4",""
"175"," Mali","37.5","","","","","","","","34.4","","32.7",""
"33"," Malta","","","","","8.1","","8.2","","8.5","","8.0",""
"157"," Mauritania","34.5","","33.6","","34.0","","34.6","","32.9","","31.9",""
"64"," Mauritius","","","13.3","","13.3","","14.1","","14.1","","14.3",""
"77"," Mexico","20.6","","22.8","","22.8","","22.3","","21.7","","22.4",""
"127"," Micronesia (Federated States of)","35.3","","34.9","","","","","","","","",""
"107"," Moldova (Republic of)","13.3","","12.1","","11.4","","12.0","","10.8","","10.1",""
"92"," Mongolia","14.9","","13.7","","15.8","","11.4","","12.8","","12.9",""
"48"," Montenegro","9.8","","6.9","","7.3","","7.1","","9.2","","8.7",""
"123"," Morocco","27.2","","28.5","","28.5","","28.5","","28.5","","28.3",""
"181"," Mozambique","44.0","","28.3","","32.0","","28.9","","34.1","","32.9",""
"125"," Namibia","40.2","","39.1","","39.1","","39.3","","39.3","","33.4",""
"144"," Nepal","31.3","","33.5","","33.5","","27.8","","25.9","","25.8",""
"7"," Netherlands","8.0","","6.9","","6.8","","6.6","","6.5","","6.8",""
"124"," Nicaragua","24.2","","26.9","","26.9","","25.8","","23.7","","25.4",""
"187"," Niger","33.1","","33.3","","33.3","","31.8","","28.4","","27.5",""
"152"," Nigeria","40.7","","38.9","","41.2","","40.2","","37.5","","37.5",""
"1"," Norway","6.5","","5.5","","6.2","","5.5","","5.3","","5.4",""
"147"," Pakistan","30.0","","29.9","","29.5","","28.7","","28.6","","29.6",""
"114"," Palestine, State of","","","","","","","11.7","","14.9","","15.1",""
"60"," Panama","25.4","","23.6","","23.6","","21.4","","21.7","","21.0",""
"110"," Paraguay","24.4","","23.7","","","","23.7","","21.8","","23.5",""
"87"," Peru","29.8","","22.9","","24.0","","23.4","","23.0","","21.4",""
"116"," Philippines","18.6","","19.6","","19.6","","18.0","","17.9","","18.2",""
"36"," Poland","10.6","","9.6","","9.7","","9.7","","9.6","","9.3",""
"41"," Portugal","11.5","","9.9","","10.4","","9.8","","10.0","","10.1",""
"50"," Romania","12.1","","12.3","","12.3","","10.4","","10.2","","10.8",""
"49"," Russian Federation","11.5","","11.3","","","","11.6","","10.3","","9.6",""
"159"," Rwanda","36.5","","35.5","","33.6","","33.1","","31.6","","31.8",""
"92"," Saint Lucia","","","","","","","","","15.5","","15.6",""
"142"," Sao Tome and Principe","","","30.7","","31.0","","30.4","","24.7","","24.7",""
"162"," Senegal","35.3","","33.2","","32.3","","32.3","","34.0","","32.5",""
"66"," Serbia","10.8","","9.5","","9.5","","10.9","","10.0","","11.1",""
"179"," Sierra Leone","38.3","","41.2","","41.2","","43.6","","40.0","","36.6",""
"40"," Slovakia","6.6","","5.6","","6.2","","6.2","","6.1","","6.0",""
"25"," Slovenia","6.8","","5.2","","5.8","","5.7","","5.8","","5.8",""
"156"," Solomon Islands","","","","","","","23.8","","23.8","","23.8",""
"119"," South Africa","30.6","","","","","","","","33.0","","32.0",""
"27"," Spain","9.5","","8.8","","9.8","","10.5","","11.0","","10.1",""
"73"," Sri Lanka","17.0","","16.0","","14.9","","14.2","","11.6","","11.5",""
"97"," Suriname","23.9","","23.3","","22.6","","23.5","","23.3","","23.3",""
"148"," Swaziland","35.7","","35.2","","35.2","","33.1","","33.1","","33.1",""
"14"," Sweden","6.8","","5.8","","6.1","","6.4","","6.6","","6.6",""
"2"," Switzerland","6.9","","6.8","","6.8","","7.6","","7.3","","8.4",""
"149"," Syrian Arab Republic","20.3","","19.9","","19.9","","20.8","","20.8","","21.4",""
"129"," Tajikistan","18.6","","17.3","","18.1","","18.8","","16.9","","14.9",""
"151"," Tanzania (United Republic of)","27.9","","28.6","","27.2","","26.9","","27.2","","25.4",""
"87"," Thailand","20.5","","20.7","","20.7","","20.0","","20.0","","20.2",""
"82"," The former Yugoslav Republic of Macedonia","16.6","","16.2","","14.5","","13.3","","16.1","","16.1",""
"133"," Timor-Leste","32.6","","31.8","","31.9","","29.4","","29.4","","30.0",""
"166"," Togo","32.3","","32.9","","32.9","","32.6","","33.1","","31.6",""
"65"," Trinidad and Tobago","15.3","","15.0","","15.0","","15.0","","15.0","","15.1",""
"97"," Tunisia","24.4","","24.4","","","","","","21.4","","21.9",""
"71"," Turkey","23.5","","22.2","","22.2","","15.6","","15.7","","15.8",""
"111"," Turkmenistan","25.5","","","","","","","","","","",""
"163"," Uganda","31.8","","33.5","","33.5","","30.8","","30.2","","30.8",""
"84"," Ukraine","8.1","","9.2","","9.2","","9.1","","7.7","","7.2",""
"16"," United Kingdom","9.3","","8.1","","8.1","","8.6","","8.4","","7.8",""
"10"," United States","10.9","","14.2","","12.0","","16.2","","15.7","","12.9",""
"54"," Uruguay","15.7","","16.0","","16.0","","15.7","","14.2","","15.4",""
"105"," Uzbekistan","15.1","","14.5","","15.3","","15.3","","15.3","","15.3",""
"134"," Vanuatu","","","","","","","","","17.1","","17.2",""
"71"," Venezuela (Bolivarian Republic of)","20.8","","25.1","","25.1","","19.4","","19.4","","19.1",""
"115"," Viet Nam","16.4","","14.0","","14.0","","14.9","","17.4","","17.7",""
"168"," Yemen","32.9","","30.8","","30.8","","31.7","","33.0","","32.7",""
"139"," Zambia","30.5","","28.8","","36.1","","34.5","","33.8","","34.7",""
"154"," Zimbabwe","29.6","","28.4","","28.1","","26.8","","26.7","","28.1",""
