"Internet users (% of population)"
"HDI Rank (2015)","Country","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015",""
"169"," Afghanistan","","","1.2","","4.0","","5.0","","5.5","","5.9","","7.0","","8.3",""
"75"," Albania","0.1","","6.0","","45.0","","49.0","","54.7","","57.2","","60.1","","63.3",""
"83"," Algeria","0.5","","5.8","","12.5","","14.0","","15.2","","16.5","","25.0","","38.2",""
"32"," Andorra","10.5","","37.6","","81.0","","81.0","","86.4","","94.0","","95.9","","96.9",""
"150"," Angola","0.1","","1.1","","2.8","","3.1","","6.5","","8.9","","10.2","","12.4",""
"62"," Antigua and Barbuda","6.5","","27.0","","47.0","","52.0","","58.0","","63.4","","64.0","","65.2",""
"45"," Argentina","7.0","","17.7","","45.0","","51.0","","55.8","","59.9","","64.7","","69.4",""
"84"," Armenia","1.3","","5.3","","25.0","","32.0","","37.5","","41.9","","54.6","","58.2",""
"2"," Australia","46.8","","63.0","","76.0","","79.5","","79.0","","83.5","","84.0","","84.6",""
"24"," Austria","33.7","","58.0","","75.2","","78.7","","80.0","","80.6","","81.0","","83.9",""
"78"," Azerbaijan","0.1","","8.0","","46.0","","50.0","","54.2","","73.0","","75.0","","77.0",""
"58"," Bahamas","8.0","","25.0","","43.0","","65.0","","71.7","","72.0","","76.9","","78.0",""
"47"," Bahrain","6.2","","21.3","","55.0","","77.0","","88.0","","90.0","","90.5","","93.5",""
"139"," Bangladesh","0.1","","0.2","","3.7","","4.5","","5.0","","6.6","","13.9","","14.4",""
"54"," Barbados","4.0","","52.5","","65.1","","66.5","","71.2","","71.8","","75.2","","76.1",""
"52"," Belarus","1.9","","","","31.8","","39.6","","46.9","","54.2","","59.0","","62.2",""
"22"," Belgium","29.4","","55.8","","75.0","","81.6","","80.7","","82.2","","85.0","","85.1",""
"103"," Belize","6.0","","17.0","","28.2","","30.7","","31.0","","33.6","","38.7","","41.6",""
"167"," Benin","0.2","","1.3","","3.1","","4.1","","4.5","","4.9","","6.0","","6.8",""
"132"," Bhutan","0.4","","3.8","","13.6","","14.4","","15.6","","22.4","","30.3","","39.8",""
"118"," Bolivia (Plurinational State of)","1.4","","5.2","","22.4","","30.0","","35.3","","37.0","","34.6","","45.1",""
"81"," Bosnia and Herzegovina","1.1","","21.3","","42.8","","47.8","","52.8","","57.8","","60.8","","65.1",""
"108"," Botswana","2.9","","3.3","","6.0","","8.0","","11.5","","15.0","","18.5","","27.5",""
"79"," Brazil","2.9","","21.0","","40.6","","45.7","","48.6","","51.0","","54.6","","59.1",""
"30"," Brunei Darussalam","9.0","","36.5","","53.0","","56.0","","60.3","","64.5","","68.8","","71.2",""
"56"," Bulgaria","5.4","","20.0","","46.2","","48.0","","51.9","","53.1","","55.5","","56.7",""
"185"," Burkina Faso","0.1","","0.5","","2.4","","3.0","","3.7","","9.1","","9.4","","11.4",""
"184"," Burundi","0.1","","0.5","","1.0","","1.1","","1.2","","1.3","","1.4","","4.9",""
"122"," Cabo Verde","1.8","","6.1","","30.0","","32.0","","34.7","","37.5","","40.3","","43.0",""
"143"," Cambodia","0.0","","0.3","","1.3","","3.1","","4.9","","6.8","","14.0","","19.0",""
"153"," Cameroon","0.3","","1.4","","4.3","","5.0","","","","","","16.2","","20.7",""
"10"," Canada","51.3","","71.7","","80.3","","83.0","","83.0","","85.8","","87.1","","88.5",""
"188"," Central African Republic","0.1","","0.3","","2.0","","2.2","","3.0","","3.5","","4.0","","4.6",""
"186"," Chad","0.0","","0.4","","1.7","","1.9","","2.1","","2.3","","2.5","","2.7",""
"38"," Chile","16.6","","31.2","","45.0","","52.3","","55.0","","58.0","","61.1","","64.3",""
"90"," China","1.8","","8.5","","34.3","","38.3","","42.3","","45.8","","47.9","","50.3",""
"95"," Colombia","2.2","","11.0","","36.5","","40.4","","49.0","","51.7","","52.6","","55.9",""
"160"," Comoros","0.3","","2.0","","5.1","","5.5","","6.0","","6.5","","7.0","","7.5",""
"135"," Congo","0.0","","1.5","","5.0","","5.6","","6.1","","6.6","","7.1","","7.6",""
"176"," Congo (Democratic Republic of the)","0.0","","0.2","","0.7","","1.2","","1.7","","2.2","","3.0","","3.8",""
"66"," Costa Rica","5.8","","22.1","","36.5","","39.2","","47.5","","46.0","","53.0","","59.8",""
"45"," Croatia","6.6","","33.1","","56.5","","57.8","","61.9","","66.7","","68.6","","69.8",""
"68"," Cuba","0.5","","9.7","","15.9","","16.0","","21.2","","27.9","","29.1","","31.1",""
"33"," Cyprus","15.3","","32.8","","53.0","","56.9","","60.7","","65.5","","69.3","","71.7",""
"28"," Czech Republic","9.8","","35.3","","68.8","","70.5","","73.4","","74.1","","79.7","","81.3",""
"171"," Côte d'Ivoire","0.2","","1.0","","2.7","","2.9","","5.0","","8.4","","14.6","","21.0",""
"5"," Denmark","39.2","","82.7","","88.7","","89.8","","92.3","","94.6","","96.0","","96.3",""
